"Hostname","IPAddress","Status","Remark","Application_Name","Version","Publisher","SerialNumber","InstallDate","RegistryPath","Last_Scan_Time"
"WINDOWS7","192.168.1.147","OK","Success","OpenOffice 4.1.15","4.115.9813","Apache Software Foundation","7A10D0DA-1711-4CB1-8D71-81A6E0149B43","5/30/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{7A10D0DA-1711-4CB1-8D71-81A6E0149B43}",
"WINDOWS7","192.168.1.147","OK","Success","Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161","9.0.30729.6161","Microsoft Corporation","9BE518E6-ECC6-35A9-88E4-87755C07200F","5/30/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{9BE518E6-ECC6-35A9-88E4-87755C07200F}",
"WINDOWS7","192.168.1.147","OK","Success","Adobe Acrobat Reader","25.001.20467","Adobe Systems Incorporated","AC76BA86-7AD7-1033-7B44-AC0F074E4100","5/30/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{AC76BA86-7AD7-1033-7B44-AC0F074E4100}",
"WINDOWS7","192.168.1.147","OK","Success","WinZip 14.0","14.0.8652","WinZip Computing, S.L. ","CD95F661-A5C4-44F5-A6AA-ECDD91C240BA","11/21/2025 12:00:00 AM","HKEY_LOCAL_MACHINE\SOFTWARE\WOW6432Node\Microsoft\Windows\CurrentVersion\Uninstall\{CD95F661-A5C4-44F5-A6AA-ECDD91C240BA}",
"WINDOWS7","192.168.1.147","OK","Success","Google Chrome","109.0.5414.120","Google LLC","","11/26/2025 12:00:00 AM","HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Google Chrome",
"L-PG03VRZB","172.29.144.1, 192.168.17.1, 192.168.56.1, 192.168.1.1, 192.168.1.163","OK","Successful","7-Zip 24.09 (x64)","24.09","Igor Pavlov","","","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\7-Zip",
"L-PG03VRZB","172.29.144.1, 192.168.17.1, 192.168.56.1, 192.168.1.1, 192.168.1.163","OK","Successful","Docker Desktop","4.43.1","Docker Inc.","","","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Docker Desktop",
"L-PG03VRZB","172.29.144.1, 192.168.17.1, 192.168.56.1, 192.168.1.1, 192.168.1.163","OK","Successful","Microsoft SQL Server 2022 (64-bit)",,,"","","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Microsoft SQL Server 16",
"L-PG03VRZB","172.29.144.1, 192.168.17.1, 192.168.56.1, 192.168.1.1, 192.168.1.163","OK","Successful","Microsoft SQL Server 2022 (64-bit)",,"Microsoft Corporation","6F3B47C9-1659-4511-A3F5-002E24969DFD","","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Microsoft SQL Server SQL2022",
"L-PG03VRZB","172.29.144.1, 192.168.17.1, 192.168.56.1, 192.168.1.1, 192.168.1.163","OK","Successful","Notepad++ (64-bit x64)","8.7.1","Notepad++ Team","","","HKEY_LOCAL_MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Uninstall\Notepad++",
